epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3272,1.40622,2.81088,1.31814,0.48141,0.50604,0.50026,0.30651,1.31872,2.01779,1.17759,0.000472882,0.000472882,0.000472882
2,24.6169,1.41062,2.02363,1.31904,0.70428,0.52652,0.62152,0.37443,1.43175,1.93853,1.35805,0.000939818,0.000939818,0.000939818
3,36.2379,1.42755,1.91491,1.34614,0.50773,0.52684,0.47861,0.27947,1.42914,2.18503,1.37634,0.00139732,0.00139732,0.00139732
4,47.3035,1.39632,1.74035,1.32093,0.67763,0.61832,0.65807,0.41429,1.33771,1.62067,1.27258,0.00138656,0.00138656,0.00138656
5,58.9401,1.34475,1.54039,1.31271,0.71033,0.61898,0.66369,0.39528,1.51383,1.61651,1.40793,0.00137241,0.00137241,0.00137241
6,71.8025,1.33859,1.44711,1.28972,0.72741,0.7021,0.74053,0.47858,1.24255,1.27862,1.23212,0.00135826,0.00135826,0.00135826
7,84.0717,1.2771,1.36178,1.25513,0.72087,0.727,0.76989,0.52106,1.24642,1.23642,1.23032,0.00134412,0.00134412,0.00134412
8,95.7036,1.25168,1.33885,1.2453,0.71316,0.69917,0.73274,0.47114,1.22258,1.20316,1.21837,0.00132997,0.00132997,0.00132997
9,107.019,1.25343,1.28917,1.24333,0.74808,0.77713,0.79407,0.53751,1.19358,1.07714,1.18616,0.00131582,0.00131582,0.00131582
10,119.655,1.22092,1.21296,1.22682,0.81791,0.76739,0.82836,0.58399,1.12227,1.01933,1.15215,0.00130168,0.00130168,0.00130168
11,131.966,1.18858,1.14945,1.20363,0.83104,0.76474,0.82206,0.58231,1.11596,1.02878,1.14463,0.00128753,0.00128753,0.00128753
12,145.056,1.18269,1.14218,1.19462,0.85548,0.73795,0.8172,0.56767,1.16275,1.11483,1.15489,0.00127338,0.00127338,0.00127338
13,157.32,1.15525,1.11028,1.18978,0.78013,0.7969,0.83283,0.57372,1.14161,1.02394,1.14317,0.00125923,0.00125923,0.00125923
14,168.619,1.15156,1.10697,1.19175,0.84872,0.75198,0.83711,0.59566,1.09227,0.99937,1.13209,0.00124509,0.00124509,0.00124509
15,179.492,1.12818,1.03352,1.17333,0.869,0.79917,0.85761,0.62439,1.0217,0.9027,1.10655,0.00123094,0.00123094,0.00123094
16,190.285,1.10659,1.01314,1.1613,0.87384,0.83093,0.88481,0.62523,1.0839,0.85008,1.11328,0.00121679,0.00121679,0.00121679
17,201.166,1.0975,0.97245,1.14542,0.87416,0.80957,0.87703,0.62839,1.05548,0.8688,1.10249,0.00120265,0.00120265,0.00120265
18,212.043,1.11642,1.00291,1.16761,0.86368,0.85629,0.87326,0.63244,1.05459,0.84277,1.11063,0.0011885,0.0011885,0.0011885
19,222.246,1.1073,0.98176,1.15081,0.90403,0.78846,0.872,0.62261,1.08477,0.88536,1.14001,0.00117435,0.00117435,0.00117435
